player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Nolimitation-Benediction,1/14/21,19:12:24,1610701944-14,[The Face of Death],23043,item:23043::::::::60,Mainspec PvE,3,WARRIOR,Naxxramas-40 Player,Kel'Thuzad,9,533,40,|cffa335ee|Hitem:19349:929:::::::60:::::::|h[Elementium Reinforced Bulwark]|h|r,,1,false,Shields,Off Hand,,Coyotee-Benediction
Dorvana-Benediction,1/14/21,19:11:12,1610701872-11,[Power of the Scourge],23545,item:23545::::::::60,Mainspec PvE,4,MAGE,Naxxramas-40 Player,Kel'Thuzad,9,533,40,,,1,false,Quest,,,Coyotee-Benediction
Sreksin-Benediction,1/14/21,19:07:17,1610701637-2,[Desecrated Robe],22351,item:22351::::::::60,Mainspec PvE,4,WARLOCK,Naxxramas-40 Player,Kel'Thuzad,9,533,40,|cffa335ee|Hitem:22652:1891:::::::60:::::::|h[Glacial Vest]|h|r,,1,false,Junk,,"yugest upgrade, can break bloodvine woo sets me up for a while",Coyotee-Benediction
Chetmagnum-Benediction,1/14/21,19:34:20,1610703260-17,[Earthfury Helmet],16842,item:16842::::::::60,Mainspec PvE,3,SHAMAN,Molten Core-40 Player,Garr,9,409,40,|cff0070dd|Hitem:12960::::::1459:2144954368:60:::1::::|h[Tribal War Feathers of Shadow Resistance]|h|r,,1,false,Mail,Head,,Coyotee-Benediction
Matamata-Benediction,1/14/21,19:08:09,1610701689-6,[Ring of the Dreamwalker],23064,item:23064::::::::60,Mainspec PvE,4,DRUID,Naxxramas-40 Player,Kel'Thuzad,9,533,40,|cffa335ee|Hitem:19140::::::::60:::::::|h[Cauterizing Band]|h|r,|cffa335ee|Hitem:19382::::::::60:::::::|h[Pure Elementium Band]|h|r,1,false,Miscellaneous,Finger,,Coyotee-Benediction
Rawseki-Benediction,1/14/21,19:10:01,1610701801-8,[Ring of Spiritual Fervor],23037,item:23037::::::::60,Banking,0,PRIEST,Naxxramas-40 Player,Kel'Thuzad,9,533,40,|cffa335ee|Hitem:19382::::::::60:::::::|h[Pure Elementium Band]|h|r,|cffa335ee|Hitem:19140::::::::60:::::::|h[Cauterizing Band]|h|r,2,true,Miscellaneous,Finger,,Coyotee-Benediction
Coyotee-Benediction,1/14/21,19:33:57,1610703237-16,[Belt of Might],16864,item:16864::::::::60,Guild Bank,0,ROGUE,Molten Core-40 Player,Garr,9,409,40,|cffa335ee|Hitem:21586::::::::60:::::::|h[Belt of Never-ending Agony]|h|r,,3,true,Plate,Waist,,Coyotee-Benediction
Madreefer-Benediction,1/14/21,19:09:30,1610701770-7,[Frostfire Ring],23062,item:23062::::::::60,Mainspec PvE,3,MAGE,Naxxramas-40 Player,Kel'Thuzad,9,533,40,|cffa335ee|Hitem:22707::::::::60:::11::::|h[Ramaladni's Icy Grasp]|h|r,|cffa335ee|Hitem:23237::::::::60:::::::|h[Ring of the Eternal Flame]|h|r,1,false,Miscellaneous,Finger,,Coyotee-Benediction
Ebaglow-Benediction,1/14/21,19:06:11,1610701571-0,[The Phylactery of Kel'Thuzad],22520,item:22520::::::::60,Mainspec PvE,4,ROGUE,Naxxramas-40 Player,Kel'Thuzad,9,533,40,,,1,false,Junk,,,Coyotee-Benediction
Pokerdots-Benediction,1/14/21,19:06:35,1610701595-1,[Desecrated Robe],22351,item:22351::::::::60,Mainspec PvE,3,WARLOCK,Naxxramas-40 Player,Kel'Thuzad,9,533,40,|cff0070dd|Hitem:19682:1891:::::::60:::::::|h[Bloodvine Vest]|h|r,,1,false,Junk,,present you're dick for sucking :D,Coyotee-Benediction
