player,item,date
Puzzles,Ghoul Skin Tunic (MS),12/6/2020
Matamata,T3 Boots (MS),12/22/2020
Schmoopaloop,T3 Gloves (MS),12/16/2020
Rangebot,T3 Shoulders (MS),12/3/2020
Sillac,T3 Belt (MS),12/17/2020
Ðeadshot,Band of Reanimation (MS),12/3/2020
Jaecar,T3 Boots (MS),12/10/2020
Madreefer,T3 Helm (BT) (MS),12/29/2020
Hellfry,Wraith Blade (CT) (MS) (BT) (WEP),12/6/2020
Bigdrou,T3 Helm (BT) (MS),12/10/2020
Martyjnnetty,T3 Chest (MS) (BT),12/23/2020
Helbent,Gem of Trapped Innocents (MS),1/3/2021
Dorvana,T3 Chest (MS) (BT),12/17/2020
Kazuu,Hammer of the Twisting Nether (CT) (MS) (BT) (WEP),1/7/2021
Rawseki,T3 Gloves (MS),12/6/2020
Labignoune,T3 Belt (MS),12/9/2020
Groves,The End of Dreams (MS) (BT) (WEP),12/3/2020
Yurei,T3 Legs (MS),12/17/2020
Bcm,Spire of Twilight (MS) (Wep),12/29/2020
Coyotee,T3 Shoulders (MS),12/10/2020
Fanmail,T3 Bracers (MS),12/10/2020
Battlecrow,Maexxna's Fang (MS) (WEP),12/22/2020
Slyba,Maexxna's Fang (MS) (WEP),12/10/2020
Ebaglow,T3 Legs (MS),12/10/2020
Fyl,T3 Bracers (MS),12/22/2020
Shkarn,T3 Legs (MS),12/20/2020
Soapycheekz,Death's Bargain (MS),12/29/2020
Milkdudz,The Widow's Embrace (MS) (BT) (WEP),12/10/2020
Mugwort,The Widow's Embrace (MS) (BT) (WEP),12/29/2020
Apache,Totem of Flowing Water (MS),12/9/2020
Therian,Warmth of Forgiveness (MS),1/6/2021
Cootertimer,The Widow's Embrace (MS) (BT) (WEP),1/6/2021
Pokerdots,Wraith Blade (CT) (MS) (BT) (WEP),12/16/2020
Ziion,Leggings of Polarity (BT) (MS),12/6/2020
Sreksin,T3 Legs (MS),12/20/2020
Lexani,T3 Shoes (MS),1/20/2021
Orczig,Sadist's Collar (MS),12/17/2020
Candykong,Shroud of Dominion (MS),1/7/2021
Vieirax,"Iblis, Blade of the Fallen Seraph (MS) (BT) (WEP)",12/9/2020
Coyle,Wristguards of Vengeance (MS),12/16/2020
Stango,Wristguards of Vengeance (MS),12/10/2020
Swaggyman,Toxin Injector (MS),12/10/2020
Toddmanflex,Wristguards of Vengeance (MS),12/29/2020
Cleofatra,T3 Bracers (MS),12/6/2020
Nolimitation,T3 Gauntlet (MS),12/6/2020
Cleofatra,The Hungering Cold (CT) (MS) (BT) (WEP),1/7/2021
Nolimitation,T3 Chest (MS),12/30/2020
Nolimitation,Cryptfield Silk Cloak (MS),1/20/2021
Cleofatra,Fortitude of the Scourge (MS),12/30/2020
Nolimitation,T3 Helm (MS),12/23/2020
Cleofatra,Toxin Injector (MS),1/13/2021
Nolimitation,Fortitude of the Scourge (MS),1/7/2021
Cleofatra,Cloak of the Scourge (MS),1/20/2021
Nolimitation,T3 Belt (MS),1/13/2021
Matamata,T3 Ring (MS),1/14/2021
Schmoopaloop,Eye of the Dead (MS) (BT) (CT),1/7/2021
Rangebot,Band of Reanimation (MS),12/23/2020
Sillac,T3 Shoulders (MS),12/29/2020
Ðeadshot,T3 Legs (MS),12/17/2020
Jaecar,Nerubian Slavemaker (MS) (BT) (CT) (WEP),1/3/2021
Madreefer,T3 Ring (MS),1/14/2021
Bigdrou,T3 Shoulders (MS),1/6/2021
Dorvana,Power of the Scourge (MS),1/14/2021
Kazuu,T3 Belt (MS),12/22/2020
Rawseki,T3 Helm (BT) (MS),1/13/2021
Labignoune,T3 Gloves (MS),1/6/2021
Yurei,T3 Shoes (MS),1/13/2021
Rangebot,T3 Bracers (MS),1/13/2021
Ðeadshot,Claymore of Unholy Might (MS) (WEP),1/6/2021
Jaecar,Band of Reanimation (MS),1/13/2021
Madreefer,Ring of the Eternal Flame (MS),1/13/2021
Bigdrou,T3 Bracers (MS),1/20/2021
Dorvana,Ring of Eternal Flame (MS),1/20/2021
Kazuu,Sapphiron's Right Eye (MS),1/14/2021
Labignoune,T3 Shoulders (MS),1/20/2021
Ðeadshot,Nerubian Slavemaker (CT) (MS) (BT) (WEP),1/14/2021
Ðeadshot,T3 Bracers (MS),1/20/2021
Labignoune,Spire of Twilight (MS) (Wep),1/20/2021
Matamata,Idol of Longevity (MS),1/6/2021
Schmoopaloop,T3 Ring (MS),1/7/2021
Rangebot,T3 Helm (MS),12/17/2020
Sillac,T3 Helm (MS),12/29/2020
Ðeadshot,T3 Chest (MS),12/17/2020
Jaecar,T3 Shoulders (MS),12/17/2020
Madreefer,The Soul Harvester's Bindings (MS),1/6/2021
Bigdrou,Ring of the Eternal Flame (MS),1/6/2021
Dorvana,T3 Shoes (MS),1/13/2021
Kazuu,T3 Shoulders (MS),12/3/2020
Rawseki,Resilience of the Scourge,12/30/2020
Labignoune,Resilience of the Scourge,1/7/2021
Yurei,T3 Bracers (MS),12/29/2020
Fanmail,T3 Bonescythe Ring (MS),1/3/2021
Battlecrow,T3 Shoulders (MS),1/6/2021
Slyba,Soulstring (MS),12/20/2020
Ebaglow,T3 Gloves (MS),12/22/2020
Fyl,T3 Belt (MS),1/13/2021
Soapycheekz,Cloak of Suturing (MS),1/20/2021
Milkdudz,T3 Shoulders (MS),1/13/2021
Mugwort,T3 Legs (MS),1/14/2021
Apache,T3 Bracers (MS),1/6/2021
Therian,T3 Helm (MS),1/13/2021
Cootertimer,T3 Gloves (MS),1/7/2021
Pokerdots,The Phylactery of Kel'Thuzad (MS) (BT),1/7/2021
Ziion,Band of the Inevitable (MS),12/16/2020
Fanmail,T3 Shoulders (MS),1/13/2021
Battlecrow,T3 Shoes (MS),1/6/2021
Slyba,T3 Gloves (MS),1/20/2021
Ebaglow,Phylactery of Kel'Thuzad (MS) (BT),1/14/2021
Soapycheekz,T3 Helm (MS),1/20/2021
Mugwort,T3 Helm (MS),1/20/2021
Apache,T3 Legs (MS),1/7/2021
Pokerdots,T3 Chest (MS) (BT),1/14/2021
Ziion,T3 Belt (MS),12/16/2020
Cleofatra,T3 Boots (MS),12/23/2020
Nolimitation,T3 Boots (MS),12/17/2020
Cleofatra,T3 Shoulders (MS),12/23/2020
Nolimitation,Signet of the Fallen Defender (MS),12/22/2020
Cleofatra,T3 Chest (MS),12/30/2020
Nolimitation,T3 Legs (MS),12/23/2020
Ziion,T3 Shoes (MS),1/6/2021
Ziion,T3 Gloves (MS),1/6/2021
Mugwort,T3 Shoulders (MS),1/20/2021
Apache,Warmth of Forgiveness (MS),1/14/2021
Fanmail,T3 Gloves (MS),1/20/2021
Battlecrow,T3 Legs (MS),1/14/2021
