date,player,item
2020-12-03,Rangebot,Desecrated Spaulders
2020-12-03,Ziion,Desecrated Shoulderpads
2020-12-03,Deadshot,Band of Reanimation
2020-12-03,Kazuu,Desecrated Shoulderpads
2020-12-03,Groves,The End of Dreams
2020-12-06,Puzzles,Ghoul Skin Tunic
2020-12-06,Cleofatra,Desecrated Bracers
2020-12-06,Nolimitation,Desecrated Gauntlets
2020-12-06,Kazuu,Desecrated Circlet
2020-12-06,Ziion,Leggings of Polarity
2020-12-06,Cleofatra,Desecrated Helmet
2020-12-06,Rawseki,Desecrated Gloves
2020-12-06,Nolimitation,Desecrated Bracers
2020-12-06,Hellfry,Wraith Blade
2020-12-09,Rangebot,Desecrated Boots
2020-12-09,Vieirax,"Iblis, Blade of the Fallen Seraph"
2020-12-09,Apache,Totem of Flowing Water
2020-12-09,Rangebot,Desecrated Girdle
2020-12-09,Labignoune,Desecrated Belt
2020-12-10,Deadshot,Desecrated Handguards
2020-12-10,Jaecar,Desecrated Headpiece
2020-12-10,Deadshot,Desecrated Spaulders
2020-12-10,Cleofatra,Desecrated Legplates
2020-12-10,Kazuu,Desecrated Gloves
2020-12-10,Cleofatra,The Plague Bearer
2020-12-10,Nolimitation,Desecrated Pauldrons
2020-12-10,Swaggyman,Toxin Injector
2020-12-10,Stango,Wristguards of Vengeance
2020-12-10,Ebaglow,Desecrated Bracers
2020-12-10,Pokerdots,Leggings of Polarity
2020-12-10,Nolimitation,Gluth's Missing Collar
2020-12-10,Slyba,Maexxna's Fang
2020-12-10,Fanmail,Desecrated Bracers
2020-12-10,Coyotee,Desecrated Pauldrons
2020-12-10,Milkdudz,The Widow's Embrace
2020-12-10,Bigdrou,Desecrated Circlet
2020-12-10,Jaecar,Desecrated Boots
2020-12-10,Ebaglow,Desecrated Legplates
2020-12-16,Ziion,Desecrated Belt
2020-12-16,Labignoune,Desecrated Sandals
2020-12-16,Slyba,Desecrated Bracers
2020-12-16,Schmoopaloop,Idol of Longevity
2020-12-16,Jaecar,Desecrated Handguards
2020-12-16,Labignoune,Desecrated Bindings
2020-12-16,Ziion,Band of the Inevitable
2020-12-16,Schmoopaloop,Desecrated Handguards
2020-12-16,Ebaglow,Desecrated Waistguard
